descriptor,reason,r
SpAD_Dzi,correlated_with_SpAbs_Dzi,0.9999614353218659
ATSC7p,correlated_with_ATSC7i,0.999958277293573
MATS3Z,correlated_with_MATS3m,0.9999580523045964
VE2_D,correlated_with_VE2_Dzse,0.9999569596311223
SpMax_Dzv,correlated_with_LogEE_Dzv,0.9999565497837556
MWC08,correlated_with_MWC10,0.999956478309737
ATS4are,correlated_with_ATS4pe,0.9999523414813395
VE1_Dzpe,correlated_with_VE1_D,0.9999513167970713
VR3_Dzp,correlated_with_VR3_Dzv,0.9999503168765512
SpMax_Dzare,correlated_with_LogEE_Dzare,0.9999489711883118
SRW08,correlated_with_SRW10,0.9999441026775873
AATSC4Z,correlated_with_AATSC4m,0.9999429289431827
ATSC6Z,correlated_with_ATSC6m,0.9999346258414904
MIC3,correlated_with_MIC4,0.9999317699229819
VE1_Dzp,correlated_with_VE1_Dzv,0.9999315451655969
SpAD_Dzpe,correlated_with_SpAbs_Dzpe,0.9999291646484707
VR1_D,correlated_with_VR1_Dzse,0.9999285270758517
ATS6se,correlated_with_ATS6pe,0.9999277738571372
SpMax_Dzp,correlated_with_LogEE_Dzp,0.9999264891831527
VE3_D,correlated_with_VE3_Dzm,0.9999261862061597
VR1_Dzv,correlated_with_VR1_Dzp,0.9999245303003383
ATSC4m,correlated_with_ATSC4Z,0.9999234786090669
VR3_Dzse,correlated_with_VR3_Dzv,0.9999137496424173
VE2_Dzp,correlated_with_VE2_Dzv,0.9999079856316041
SpAD_Dzare,correlated_with_SpAbs_Dzare,0.999907498438253
GATS3Z,correlated_with_GATS3m,0.9999023446563194
SM1_Dzm,correlated_with_SM1_DzZ,0.9999005074986614
GATS4Z,correlated_with_GATS4m,0.9998998893119146
MATS2Z,correlated_with_MATS2m,0.9998970415896344
ATSC5Z,correlated_with_ATSC5m,0.9998873526460019
VE2_Dzse,correlated_with_VE2_Dzv,0.9998703973439919
VE1_Dzv,correlated_with_VE1_D,0.9998700253319416
MWC07,correlated_with_MWC09,0.9998664535726701
GATS1m,correlated_with_GATS1Z,0.9998645979366645
SpMAD_Dzse,correlated_with_SpMAD_Dzpe,0.9998552892111481
SRW06,correlated_with_MWC10,0.9998483296552532
LogEE_Dzi,correlated_with_SpAbs_Dzi,0.999845467192329
VR1_DzZ,correlated_with_VR1_Dzse,0.9998418471040195
Sare,correlated_with_Spe,0.9998386372533271
ATS3pe,correlated_with_ATS3are,0.9998343530975409
ATS7are,correlated_with_ATS7d,0.9998333025178975
SpAD_DzZ,correlated_with_SpMax_DzZ,0.9998278570451656
LogEE_Dzpe,correlated_with_LogEE_Dzare,0.9998219013862031
SpAbs_Dzv,correlated_with_SpAD_Dzv,0.999795018627173
