ID,SMILES,CAS-ID,Exp_log (rat toxicity)
163,COC(=O)C1=C(C)NC(=C(C1C2=CC=CC=C2[N+]([O-])=O)C(=O)OCC(C)C)C,63675-72-9,2.49
164,CCOC(=O)C1=C(C)NC(=C(C1C2=CC=CC(=C2)[N+]([O-])=O)C(=O)OC)C,39562-70-4,1.37
165,CNC(=O)N1C(=O)CN=C(C2=CC=CC=C2)C3=CC(=CC=C13)[N](=O)=O,27016-91-7,2.17
166,O=[N](=O)C1=CC=C(SC2=CC=C(C=C2)[N](=O)=O)C=C1,1223-31-0,2.27
167,CCC(C)C1=CC(=CC(=C1OC(C)=O)[N+]([O-])=O)[N+]([O-])=O,2813-95-8,3.67
168,CC(C)(C)C1=C(NC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,109825-47-0,5.31
169,CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(C)C)[N+]([O-])=O,33820-53-0,1.79
170,CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(C)=O)[N+]([O-])=O,52129-71-2,2.62
171,CCC(C)C1=C(OC(=O)OC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,61614-62-8,3.62
172,CC(=O)OC1=C(C=C(C(=C1[N+]([O-])=O)C)[N+]([O-])=O)C(C)(C)C,2487-01-6,3.85
173,CC(=O)OC1=C(C=C(C=C1C(C)(C)C)[N+]([O-])=O)[N+]([O-])=O,3204-27-1,3.66
174,CCC(CC)NC1=C(C(=C(C)C=C1[N+]([O-])=O)C)[N+]([O-])=O,40487-42-1,2.43
175,CCCN(CCC)C1=C(C=C(C)C=C1[N+]([O-])=O)[N+]([O-])=O,1918-08-7,1.89
176,CCC(C)NC1=C(C=C(C=C1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O,33629-47-9,2.07
177,CN(CCO)C1=CC=C(C=C1)N=NC2=C(Cl)C=C(C=C2Cl)[N](=O)=O,6232-56-0,2.12
178,ClC1=CC(=CC(=C1N=NC2=CC=C(C=C2)N3CC[S](=O)(=O)CC3)Cl)[N](=O)=O,17741-62-7,2.13
179,CCCOCCOC(=O)C1=C(C)NC(=C(C1C2=CC=CC(=C2)[N+]([O-])=O)C(=O)OCCOCCC)C,22609-73-0,2.52
180,CCCCCCCCCOC(=O)C1=CNC=C(C1C2=CC=CC=C2[N+]([O-])=O)C(=O)NC3CCCC3,110263-73-5,4.68
181,COCCOC(=O)C1=C(C)NC(=C(C1C2=CC(=CC=C2)[N+]([O-])=O)C(=O)OC\C=C\C3=CC=CC=C3)C,132203-70-4,2.05
182,OC1=C(CNCCCl)C=C(C=C1)[N+]([O-])=O,56538-00-2,3.96
183,OC(C(COC(=O)CCC(O)=O)NC(=O)C(Cl)Cl)C1=CC=C(C=C1)[N](=O)=O,3544-94-3,1.71
184,OC(C1COC(=N1)C(Cl)Cl)C2=CC=C(C=C2)[N+]([O-])=O,76738-28-8,1.71
185,OC1=C(C=C(Cl)C=C1[N+]([O-])=O)C2=C(O)C(=CC(=C2)Cl)[N+]([O-])=O,10331-57-4,4.54
186,CCOC1=CC=C(C=C1CNCCCl)[N+]([O-])=O,56538-02-4,4.01
187,COC1=CC=C(C=C1CNCCCl)[N+]([O-])=O,56538-01-3,3.94
188,CO[P](=S)(OC)OC1=CC(=C(C(=C1)Cl)[N+]([O-])=O)Cl,50590-01-7,2.65
189,CCO[P](=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O,2591-57-3,4.99
190,CCO[P](=S)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O,56-38-2,5.16
191,CO[P](=S)(OC)OC1=CC=C(Cl)C(=C1)[N+]([O-])=O,5826-76-6,2.77
